"conversion_id","offer_id","status","sub1","sub2","revenue","time_utc"
"570c392895594c2ba19872679b5742b9",,,"bad","","32","21/10/2025 17:40:29"
"67c3392aaa3c4afb98d0207cc0128479",,,"bad","","32","21/10/2025 17:52:36"
"8a6f0c60bd9148be978b086fbd0d02a3",,,"elon","","32","21/10/2025 17:59:48"
"fd0c8467d6884bfdbf045ec8bfadd4c8",,,"tito","","32","21/10/2025 18:08:57"
"3d040213e39f47e7bf9b8500bf8e46bc",,,"tito","","32","21/10/2025 18:12:46"
"55a3306a5e794bd9bcefb1293950a100",,,"bad","","32","21/10/2025 18:19:26"
"4711e2feac0549c8b346af12efeaef96",,,"bad","","32","21/10/2025 18:25:24"
"f0212753354c495a9d8eadf27e3f729a",,,"bad","","32","21/10/2025 18:25:49"
"6c2f2c9fbbf349af813bd3d119f56dd9",,,"bad","","32","21/10/2025 18:26:05"
"b492fb2e15184910bd9e0a7185651925",,,"kel","","32","21/10/2025 18:27:26"
"76a0bb8775d1432bb86038b495c8b5cb",,,"bad","","32","21/10/2025 18:29:42"
"1835af76e14e4f0e8c5a74be08f242c1",,,"bad","","32","21/10/2025 18:31:48"
"a28774e548ea4e2a81570272e93ac081",,,"bad","","32","21/10/2025 18:33:00"
"6c05f8cd1da34a8c8850662cf08610e7",,,"bad","","32","21/10/2025 18:33:03"
"98de1295e2f9407d91e79f587e060d51",,,"bad","","32","21/10/2025 18:33:10"
"eb83721f372340c19ca54d077694ecde",,,"bad","","32","21/10/2025 18:33:29"
"6458bc3eb61044bca0476e47db122fce",,,"tito","","32","21/10/2025 18:33:59"
"3f43952f478445dbbdb02f421bbd4673",,,"bad","","32","21/10/2025 18:34:22"
"017f606ef3334042b04728f1b3282ef7",,,"bad","","32","21/10/2025 18:34:49"
"46c29023f2a742c8a663e318701b7b08",,,"bad","","32","21/10/2025 18:35:00"
"0151fbf6a99f433fa75eaea19c2af15a",,,"bad","","32","21/10/2025 18:35:12"
"e6957ea7a0eb4e65ba6f7faa095b417f",,,"bad","","32","21/10/2025 18:36:24"
"af6882c63fc94b5193ad43fbf0d2850a",,,"tito","","32","21/10/2025 18:37:42"
"ae4218098d434c7a8bf2dedfbd8b8be8",,,"bad","","32","21/10/2025 18:39:09"
"4f3ba396cc4a4946877ff4c05f6ee707",,,"bad","","32","21/10/2025 18:39:41"
"e3eca9cf53e249b08970139fee7c8d30",,,"bad","","32","21/10/2025 18:41:46"
"9acc3e367a0b4b688f6976a70cbeb262",,,"bad","","32","21/10/2025 18:41:52"
"74c63036d0ec46f9aef288989923a9b4",,,"bad","","32","21/10/2025 18:43:09"
"ab77da2bc2f54774ad2f91e8391cac51",,,"bad","","32","21/10/2025 18:45:09"
"75fbe0d217754fbf86be347f0c650faa",,,"bad","","32","21/10/2025 18:48:13"
"c3a9919a00a34e6895a17f351cee663e",,,"bad","","32","21/10/2025 18:50:17"
"a0ca060f68d34d75a7d7ae094e7a08d8",,,"kel","","32","21/10/2025 18:59:52"
"2f924ec03d5940fbbd68dc2fcd1fb2db",,,"tito","","32","21/10/2025 19:05:19"
"4a23668278114b62ba0bf49ac3462a9b",,,"kel","","32","21/10/2025 19:16:48"
"8f265827eaba4b3f81474a432dcc5faa",,,"lllico","","32","21/10/2025 19:17:51"
